row,N.case,N.point.X,N.point.Y,N.vegLVs,N.floralLVs,N.pollinatorsLVs,N.developmentLVs,N.floralLV.res,N.pollinators.res
25,25,593140.4454,4523528.952,-0.030546773,-0.601453178,-0.476713593,0.443083986,-0.285901311,-0.02268741
26,26,593120.6692,4523283.049,-0.054185052,-0.621036356,-0.438987114,-0.015259207,-0.418251396,0.091605753
27,27,593005.0993,4522998.202,-0.054054355,0.137250068,0.23050249,-0.415070625,0.159511813,0.322837892
28,28,593116.2672,4522730.17,-0.031098806,0.687043223,0.14600396,-0.102640612,0.75908102,-0.142529164
29,29,593331.0351,4521862.862,-0.025172001,-0.586739255,-0.440635236,0.186076099,-0.408179598,-0.009944109
30,30,593168.9047,4520958.46,-0.003013884,0.252514128,-0.424212252,-0.104848849,0.212360655,-0.539346225
31,31,593023.1832,4520605.605,0.000567897,-0.289198787,-0.486821411,0.134447215,-0.235796202,-0.29901416
32,32,593247.8155,4520503.46,0.012010196,0.009245042,-0.444083406,-0.063892936,-0.07195406,-0.460210592
33,33,588546.1025,4516054.606,0.100670403,0.294527944,0.728391961,0.423662991,0.081805782,0.302756504
34,34,588587.4036,4516298.173,0.043124466,-0.428326494,0.166417103,0.232031386,-0.499483794,0.317082959
35,35,590080.8476,4516733.988,0.01927314,0.178118457,0.486786359,0.143310658,0.161451644,0.353087167
36,36,589941.2817,4517078.284,0.079047039,0.09238749,0.213846338,0.378798782,-0.054920016,-0.035361458
37,37,589532.3102,4517253.692,-0.019156075,-0.103747868,0.240209889,-0.077639939,-0.067739141,0.375374199
38,38,589251.2693,4517521.567,0.087189229,0.55341589,0.393608686,-0.017863489,0.195282971,-0.144312638
39,39,602306.1922,4522181.182,-0.024366298,0.495867718,0.83685695,-0.380401671,0.416193969,0.640137903
40,40,596078.871,4508168.743,0.043222416,0.559120116,0.773237873,-0.264868702,0.263857352,0.353400818
41,41,578093.5096,4493486.34,0.060162252,0.554320594,-0.462110259,-0.714372505,-0.010390903,-0.925941165
42,42,577882.0715,4493736.357,0.039267948,0.316200797,-0.442767309,-0.67602047,-0.148516454,-0.711405839
43,43,578017.3448,4493966.124,0.038466447,0.741560578,1.033136979,-0.457139544,0.378562743,0.521073582
44,44,602119.4946,4522961.203,0.010019141,0.40113261,-0.01908716,-0.449031853,0.154416929,-0.256025638
45,45,577264.1829,4493963.832,-0.076567045,0.162057775,-0.081627926,-0.460296786,0.253092337,0.058531836
46,46,602226.7692,4522315.929,-0.001345353,0.479285438,0.577562757,-0.50802764,0.251003898,0.326866184
47,47,602753.8747,4512406.732,0.081199866,0.015144742,0.164629053,-0.480593642,-0.527607835,-0.045915727
48,48,602953.8302,4512028.911,0.050086026,0.201908584,0.555642059,-0.494763269,-0.224034031,0.323139943
49,49,603065.491,4511738.621,0.13123643,0.199113806,0.357446077,-0.506641751,-0.553476859,-0.097472504
50,50,596737.465,4508951.746,0.056108107,0.311175912,0.577224928,0.010523243,0.088883419,0.264997867
51,51,596744.8004,4508712.929,0.078863162,0.907091765,0.958607871,0.088988863,0.630032144,0.239430763
52,52,596511.5306,4508486.671,0.092403345,0.2250157,0.185328781,-0.148749944,-0.212690115,-0.177341904
